id,car_id,request_status,request_date
1,1,Ремонтируется,2024-06-17
2,2,Ремонтируется,2024-06-15
3,3,Ремонтируется,2024-07-28
4,4,В очереди,2024-08-11
5,5,Ремонтируется,2024-06-06
6,6,Ремонтируется,2024-07-12
7,7,В очереди,2024-04-25
8,8,Получен клиентом,2024-07-24
9,9,В очереди,2024-08-12
10,10,Ремонтируется,2024-08-18
11,11,В очереди,2024-05-28
12,12,Ремонтируется,2024-06-16
13,13,Получен клиентом,2024-09-14
14,14,Готов к выдаче,2024-08-23
15,15,В очереди,2024-08-05
16,16,В очереди,2024-07-15
17,17,Готов к выдаче,2024-09-02
18,18,Ремонтируется,2024-06-11
19,19,Ремонтируется,2024-06-24
20,20,Ремонтируется,2024-06-01
21,21,В очереди,2024-06-07
22,22,В очереди,2024-06-11
23,23,В очереди,2024-05-31
24,24,Получен клиентом,2024-06-13
25,25,Готов к выдаче,2024-04-29
26,26,В очереди,2024-07-20
27,27,В очереди,2024-06-28
28,28,Ремонтируется,2024-04-24
29,29,Ремонтируется,2024-09-07
30,30,В очереди,2024-08-31
31,31,Получен клиентом,2024-05-25
32,32,Получен клиентом,2024-06-05
33,33,Получен клиентом,2024-06-04
34,34,Готов к выдаче,2024-09-12
35,35,В очереди,2024-04-30
36,36,В очереди,2024-09-19
37,37,Получен клиентом,2024-06-29
38,38,Получен клиентом,2024-05-08
39,39,В очереди,2024-06-21
40,40,Получен клиентом,2024-05-10
41,41,Готов к выдаче,2024-08-20
42,42,В очереди,2024-07-01
43,43,Ремонтируется,2024-07-31
44,44,Ремонтируется,2024-06-28
45,45,Получен клиентом,2024-04-25
46,46,В очереди,2024-07-05
47,47,Получен клиентом,2024-08-26
48,48,Ремонтируется,2024-09-01
49,49,В очереди,2024-07-16
50,50,Получен клиентом,2024-06-06
51,51,Готов к выдаче,2024-09-16
52,52,Ремонтируется,2024-04-25
53,53,Получен клиентом,2024-06-18
54,54,В очереди,2024-05-17
55,55,Готов к выдаче,2024-08-19
56,56,Получен клиентом,2024-06-24
57,57,Ремонтируется,2024-05-16
58,58,Получен клиентом,2024-07-31
59,59,Готов к выдаче,2024-08-07
60,60,Готов к выдаче,2024-07-05
61,61,Получен клиентом,2024-08-13
62,62,Получен клиентом,2024-08-13
63,63,В очереди,2024-07-21
64,64,Ремонтируется,2024-08-01
65,65,Готов к выдаче,2024-05-23
66,66,Готов к выдаче,2024-07-27
67,67,В очереди,2024-07-06
68,68,Получен клиентом,2024-07-14
69,69,Ремонтируется,2024-05-15
70,70,В очереди,2024-05-24
71,71,Готов к выдаче,2024-06-14
72,72,Готов к выдаче,2024-09-07
73,73,Готов к выдаче,2024-09-09
74,74,Ремонтируется,2024-05-28
75,75,Готов к выдаче,2024-07-24
76,76,Ремонтируется,2024-09-05
77,77,Готов к выдаче,2024-06-02
78,78,В очереди,2024-05-05
79,79,В очереди,2024-09-11
80,80,Ремонтируется,2024-06-16
81,81,Получен клиентом,2024-05-31
82,82,Ремонтируется,2024-08-23
83,83,В очереди,2024-06-03
84,84,В очереди,2024-08-02
85,85,Готов к выдаче,2024-08-07
86,86,В очереди,2024-08-24
87,87,Ремонтируется,2024-07-10
88,88,Ремонтируется,2024-06-16
89,89,Ремонтируется,2024-07-30
90,90,Готов к выдаче,2024-07-23
91,91,Ремонтируется,2024-07-18
92,92,В очереди,2024-07-16
93,93,Получен клиентом,2024-09-12
94,94,В очереди,2024-09-04
95,95,Готов к выдаче,2024-06-23
96,96,Готов к выдаче,2024-05-24
97,97,Получен клиентом,2024-04-28
98,98,В очереди,2024-08-10
99,99,Готов к выдаче,2024-04-26
100,100,Готов к выдаче,2024-06-22
101,101,Получен клиентом,2024-05-03
102,102,Готов к выдаче,2024-07-17
103,103,Готов к выдаче,2024-06-29
104,104,Ремонтируется,2024-06-20
105,105,В очереди,2024-05-28
106,106,В очереди,2024-05-25
107,107,В очереди,2024-05-06
108,108,Ремонтируется,2024-06-13
109,109,Готов к выдаче,2024-08-14
110,110,Получен клиентом,2024-05-13
111,111,Ремонтируется,2024-06-15
112,112,Готов к выдаче,2024-07-22
113,113,Ремонтируется,2024-08-08
114,114,Получен клиентом,2024-05-25
115,115,В очереди,2024-07-24
116,116,Получен клиентом,2024-06-09
117,117,Получен клиентом,2024-09-14
118,118,В очереди,2024-06-07
119,119,Ремонтируется,2024-09-21
120,120,Получен клиентом,2024-08-01
121,121,Получен клиентом,2024-06-30
122,122,Получен клиентом,2024-08-05
123,123,Ремонтируется,2024-05-22
124,124,Ремонтируется,2024-04-24
125,125,Получен клиентом,2024-05-16
126,126,Готов к выдаче,2024-05-21
127,127,Получен клиентом,2024-09-15
128,128,В очереди,2024-07-19
129,129,Ремонтируется,2024-07-21
130,130,В очереди,2024-04-26
131,131,Ремонтируется,2024-09-04
132,132,Получен клиентом,2024-07-25
133,133,В очереди,2024-05-13
134,134,В очереди,2024-08-01
135,135,Получен клиентом,2024-06-11
136,136,Готов к выдаче,2024-05-05
137,137,Готов к выдаче,2024-08-19
138,138,Получен клиентом,2024-07-20
139,139,Получен клиентом,2024-08-08
140,140,Готов к выдаче,2024-08-14
141,141,В очереди,2024-07-08
142,142,Готов к выдаче,2024-06-09
143,143,Готов к выдаче,2024-05-20
144,144,Получен клиентом,2024-06-23
145,145,В очереди,2024-05-20
146,146,Получен клиентом,2024-05-06
147,147,Готов к выдаче,2024-07-14
148,148,В очереди,2024-09-06
149,149,Готов к выдаче,2024-07-03
150,150,Получен клиентом,2024-08-12
151,151,Получен клиентом,2024-06-04
152,152,Получен клиентом,2024-05-09
153,153,В очереди,2024-09-02
154,154,В очереди,2024-09-04
155,155,В очереди,2024-09-03
156,156,Готов к выдаче,2024-09-06
157,157,В очереди,2024-05-24
158,158,Получен клиентом,2024-08-07
159,159,Готов к выдаче,2024-07-26
160,160,Получен клиентом,2024-09-03
161,161,Ремонтируется,2024-05-16
162,162,Ремонтируется,2024-07-25
163,163,Ремонтируется,2024-06-01
164,164,Готов к выдаче,2024-05-23
165,165,Готов к выдаче,2024-07-18
166,166,Получен клиентом,2024-08-05
167,167,В очереди,2024-08-20
168,168,Получен клиентом,2024-07-26
169,169,Ремонтируется,2024-09-16
170,170,Получен клиентом,2024-07-29
171,171,Ремонтируется,2024-06-16
172,172,Готов к выдаче,2024-08-27
173,173,Ремонтируется,2024-08-12
174,174,Ремонтируется,2024-07-14
